Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/-74,4,49,48,50,0.83,0.000%,.01958,0.04,0.01,1856.0
/static/css/main.91169c33.chunk.css-76,4,24,24,26,0.83,0.000%,.01959,0.01,0.01,667.0
/static/js/main.e989115e.chunk.js-78,4,28,27,30,1.09,0.000%,.01959,0.24,0.01,12641.0
/static/css/2.b26b6ae6.chunk.css-75,4,53,53,54,0.50,0.000%,.01958,0.98,0.01,51420.0
/static/js/2.7c253607.chunk.js-77,4,110,91,122,12.14,0.000%,.01958,8.11,0.01,424151.0
/logo192.png-79,4,25,25,27,0.83,0.000%,.01959,0.33,0.01,17437.0
/ws/bank.wsdl-80,32,24,22,47,5.70,0.000%,.15255,0.08,0.06,509.0
UC01_TR01_OpenMainPage,4,326,312,352,15.47,0.000%,.01956,9.72,0.05,508681.0
/login-81,32,23,22,25,0.50,0.000%,.15256,0.08,0.07,550.0
/login-82,32,149,110,255,55.54,0.000%,.15242,130.71,0.08,878152.0
/ws/bank.wsdl-89,32,29,27,50,5.31,0.000%,.15248,2.67,0.09,17920.0
UC01_TR02_Login,4,236,181,294,50.01,0.000%,.01956,27.17,0.03,1421974.5
/user-96,4,22,22,24,0.83,0.000%,.01958,0.01,0.01,565.0
/user-97,4,26,26,27,0.50,0.000%,.01958,0.01,0.01,570.0
UC01_TR03_AddUser,4,49,48,51,1.30,0.000%,.01958,0.02,0.02,1135.0
/ws/bank.wsdl-104,32,34,27,74,14.60,0.000%,.15248,2.67,0.09,17920.0
/ws/bank.wsdl-111,32,22,22,24,0.48,0.000%,.15249,0.08,0.06,509.0
UC01_TR04_Exit,4,52,50,58,3.20,0.000%,.01958,0.35,0.02,18429.0
UC01_Add_User,4,664,599,717,44.03,0.000%,.01952,37.18,0.13,1950219.5
UC02_TR01_OpenMainPage,4,23,23,23,0.00,0.000%,.01958,0.01,0.01,509.0
UC02_TR02_Login,4,220,161,280,58.51,0.000%,.01956,27.16,0.03,1421989.2
SR223 Sampler,4,6,0,18,7.40,0.000%,.01957,0.00,0.00,.0
/car-27,4,23,23,24,0.43,0.000%,.01957,0.01,0.01,565.0
/car-28,4,30,26,35,3.27,0.000%,.01957,0.01,0.01,557.8
UC02_TR03_AddNewCar,4,60,49,74,10.01,0.000%,.01957,0.02,0.02,1122.8
UC02_TR04_Exit,4,50,50,51,0.43,0.000%,.01957,0.35,0.02,18429.0
UC02_Add_NewCar,4,354,300,405,49.41,0.000%,.01954,27.52,0.08,1442050.0
UC03_TR01_OpenMainPage,4,23,23,24,0.43,0.000%,.01957,0.01,0.01,509.0
UC03_TR02_Login,4,222,167,278,54.76,0.000%,.01955,27.14,0.03,1422001.2
UC_Create_Home/users-20,16,712,640,788,38.05,0.000%,.07667,181.61,0.03,2425643.4
UC3_TR3_User_Get,4,747,727,774,16.93,0.000%,.01949,46.16,0.01,2425643.0
/user/10711/money/234234234-52,4,22,22,23,0.43,0.000%,.01956,0.01,0.01,551.0
/user/10711/money/234234234-53,4,30,27,39,5.07,0.000%,.01956,0.01,0.01,577.8
UC03_TR04_Add_Mon,4,53,50,61,4.64,0.000%,.01956,0.02,0.02,1128.8
UC03_TR05_Exit,4,54,49,64,5.80,0.000%,.01956,0.35,0.02,18429.0
UC03_Add_Money,4,1100,1048,1153,42.59,0.000%,.01946,73.50,0.09,3867711.0
UC04_TR01_OpenMainPage,4,23,22,24,1.00,0.000%,.01956,0.01,0.01,509.0
UC_User_Get,12,700,640,788,36.03,0.000%,.05779,136.90,0.02,2425643.5
UC04_TR02_Login,4,1563,1545,1572,10.87,0.000%,.01941,92.35,0.05,4872222.0
JDBC Request Car,8,125,35,393,152.58,0.000%,.03906,0.00,0.00,27.0
UC04_TR03_Generate,4,213,37,393,176.26,0.000%,.01956,0.00,0.00,27.0
/user/10716/buyCar/2558-71,4,23,22,24,0.71,0.000%,.01960,0.01,0.01,551.0
/user/10716/buyCar/2558-72,4,32,30,38,3.20,0.000%,.01960,0.01,0.01,577.8
UC04_TR04_BuyCar,4,55,52,62,3.84,0.000%,.01960,0.02,0.02,1128.8
UC04_TR05_Exit,4,51,50,52,0.71,0.000%,.01960,0.35,0.02,18429.0
UC04_Buy_Car,4,1906,1708,2094,180.78,0.000%,.01939,92.66,0.10,4892315.8
UC05_TR01_OpenMainPage,4,23,23,24,0.50,0.000%,.01960,0.01,0.01,509.0
UC05_TR02_Login,4,165,161,178,7.12,0.000%,.01959,0.40,0.03,20973.5
UC05_TR03_Generate,4,37,35,40,1.92,0.000%,.01960,0.00,0.00,27.0
/user/10711/sellCar/2558-91,4,26,26,27,0.43,0.000%,.01960,0.01,0.01,578.2
/user/10711/sellCar/2558-90,4,23,23,23,0.00,0.000%,.01960,0.01,0.01,551.0
UC05_TR04_SellCar,4,49,49,50,0.43,0.000%,.01960,0.02,0.02,1129.2
UC05_TR05_Exit,4,51,50,52,0.71,0.000%,.01960,0.35,0.02,18429.0
UC05_Sell_Car,4,327,321,339,6.76,0.000%,.01957,0.78,0.08,41067.8
UC06_TR01_OpenMainPage,4,22,22,23,0.43,0.000%,.01960,0.01,0.01,509.0
UC06_TR02_Login,4,163,160,169,3.54,0.000%,.01959,0.40,0.03,20973.8
/house-132,4,22,22,23,0.50,0.000%,.01960,0.01,0.01,565.0
/house-133,4,26,26,27,0.50,100.000%,.01960,0.01,0.02,395.0
UC06_TR03_AddNewHouse,4,49,48,50,0.71,100.000%,.01960,0.02,0.03,960.0
UC06_TR04_Exit,4,94,94,97,1.30,0.000%,.01959,0.35,0.02,18429.0
UC06_Add_New_House,4,329,327,334,2.87,100.000%,.01957,0.78,0.09,40871.8
UC07_TR01_OpenMainPage,4,23,22,24,0.71,0.000%,.01960,0.01,0.01,509.0
UC07_TR02_Login,4,864,800,949,56.29,0.000%,.01952,46.64,0.04,2446621.0
JDBC Request House,8,35,33,38,1.71,0.000%,.03915,0.00,0.00,25.8
UC07_TR03_Generate,4,35,34,38,1.48,0.000%,.01962,0.00,0.00,26.2
/house/2732/settle/3-216,4,23,23,23,0.00,0.000%,.01962,0.01,0.01,551.0
/house/2732/settle/3-217,4,32,31,37,2.49,0.000%,.01962,0.01,0.01,739.8
UC07_TR04_SettleHouse,4,55,54,60,2.49,0.000%,.01962,0.02,0.02,1290.8
UC07_TR05_Exit,4,50,49,52,1.09,0.000%,.01962,0.35,0.02,18429.0
UC07_User_check_in,4,1029,961,1114,57.43,0.000%,.01950,46.98,0.09,2466876.0
UC08_TR01_OpenMainPage,4,23,23,24,0.43,0.000%,.01962,0.01,0.01,509.0
UC08_TR02_Login,4,284,268,306,13.66,0.000%,.01960,54.03,0.03,2823151.2
UC08_TR03_Generate,4,34,33,37,1.79,0.000%,.01962,0.00,0.00,25.2
/house/2780/evict/95-241,4,23,23,24,0.43,0.000%,.01962,0.01,0.01,551.0
/house/2780/evict/95-242,4,27,27,28,0.50,0.000%,.01962,0.01,0.01,636.5
UC08_TR04_EvictHouse,4,50,50,51,0.43,0.000%,.01962,0.02,0.02,1187.5
UC08_TR05_Exit,4,50,50,51,0.43,0.000%,.01962,0.35,0.02,18429.0
UC08_User_evic,4,443,428,468,14.80,0.000%,.01958,54.37,0.08,2843302.0
Debug Sampler,4,122,115,131,5.67,0.000%,.01962,53.70,0.00,2803189.5
TOTAL,512,161,0,2094,302.96,2.344%,2.43147,1163.37,2.17,489948.1
